"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J6";"HEAD17-NOSS-1";1;"HEAD17-NOSS-1";;;
2;"J5";"HEAD17-NOSS";1;"HEAD17-NOSS";;;
3;"@HOLE3,@HOLE1,@HOLE0,@HOLE2";"";4;"";;;
4;"R6,R7,R8,R5";"R0402";4;"1K";;;
5;"J3";"CON2_USB_MICRO_B_AT";1;"USB Micro";;;
6;"R4,R1,R9,R2";"R0402";4;"10K";;;
7;"J4";"2X03";1;"3x2M";;;
8;"C5,C7,C4";"C0402";3;"1uF";;;
9;"RESET0";"TS42";1;"TS42";;;
10;"U$37,U$53";"FD-1-1.5";2;"DNP";;;
11;"D-0,D+0";"TP-1.00MM";2;"DNP";;;
12;"L2";"0805";1;"MH2029-300Y";;;
13;"U1";"QFN44ML7X7";1;"ATMEGA32U4-XUMU";;;
14;"TX0,RX0";"CHIPLED_0805";2;"yellow";;;
15;"L0";"CHIPLED_0805";1;"green";;;
16;"C3,C14";"SMC_B";2;"22u";;;
17;"FRAME1";"FRAME";1;"DNP";;;
18;"C12,C13";"C0402";2;"22pF";;;
19;"Y3";"CRYSTAL-3.2-2.5";1;"16MHz KX-7";;;
20;"C9,C2,C1,C6,C11,C10";"C0402";6;"100n";;;
21;"U2";"SOT223";1;"NCP1117-5";;;
22;"T2";"SOT-23";1;"PMV48XP";;;
23;"T1";"SOT-23";1;"FDN340P/PMV48XP";;;
24;"U4";"SOT23-DBV";1;"LP2985-33DBVR";;;
25;"Z2,Z1";"CT_CN0603";2;"CG0603MLC-05E";;;
26;"D2";"MINIMELF";1;"CD1206-S01575";;;
27;"ON0";"CHIPLED_0805";1;"blue";;;
28;"RP3";"CAY16";1;"22R";;;
29;"F1";"L1812";1;"MF-MSMF050-2 500mA";;;
