"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4,R3";"AXIAL-0.3";2;"330";;;
2;"JP1,JP4,JP3,JP2";"1X01";4;"";;;
3;"LED2";"LED5MM";1;"Power";;;
4;"JP5";"1X02";1;"";;;
5;"C2";"CPOL-RADIAL-10UF-25V";1;"10uF";;;
6;"U1";"TO220-ADJ";1;"LM317";;;
7;"D1";"DIODE-0.4";1;"1N4001";;;
8;"F1";"PTC";1;"500mA";;;
9;"C3";"CAP-PTH-SMALL2";1;"0.1uF";;;
10;"R1";"AXIAL-0.3";1;"240";;;
11;"S1";"SWITCH-SPST";1;"On/Off";;;
12;"U$1";"SFE-LOGO-FLAME";1;"LOGO-SFESK";;;
13;"R2";"AXIAL-0.3";1;"390";;;
14;"S2";"SWITCH-SPST";1;"Voltage";;;
15;"J1";"POWER_JACK_PTH";1;"POWER_JACKPTH";;;
16;"C1";"CPOL-RADIAL-100UF-25V";1;"100uF";;;
